id,source,object_type,name,display_name,authoritative,available_on_relationships,description,Keep/Remove,Reason,Comment
sample.benchling_sequencing_request_benchling_completion_date_rnaseq_max,benchling,sample,benchling_sequencing_request_benchling_completion_date_rnaseq_max,Latest RNASeq Request,,,,,,
tolid.benchling_extraction_benchling_volume_ul_pooled_dna_max,benchling,tolid,benchling_extraction_benchling_volume_ul_pooled_dna_max,,,,,,,
tissue_prep.benchling_extraction_rna_count,benchling,tissue_prep,benchling_extraction_rna_count,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_wgs_max,benchling,sample,benchling_sequencing_request_benchling_completion_date_wgs_max,,,,,,,
tissue_prep.benchling_extraction_lres_count,benchling,tissue_prep,benchling_extraction_lres_count,,,,,,,
tolid.benchling_extraction_lres_count,benchling,tolid,benchling_extraction_lres_count,,,,,,,
species.benchling_tissue_prep_benchling_weight_mg_sum,benchling,species,benchling_tissue_prep_benchling_weight_mg_sum,,,,,,,
species.benchling_extraction_benchling_volume_ul_lres_sum,benchling,species,benchling_extraction_benchling_volume_ul_lres_sum,,,,,,,
tolid.benchling_extraction_benchling_volume_ul_min,benchling,tolid,benchling_extraction_benchling_volume_ul_min,,,,,,,
species.benchling_extraction_benchling_volume_ul_pooled_dna_sum,benchling,species,benchling_extraction_benchling_volume_ul_pooled_dna_sum,,,,,,,
species.benchling_extraction_benchling_volume_ul_pooled_dna_max,benchling,species,benchling_extraction_benchling_volume_ul_pooled_dna_max,,,,,,,
tissue_prep.benchling_extraction_benchling_volume_ul_pooled_dna_min,benchling,tissue_prep,benchling_extraction_benchling_volume_ul_pooled_dna_min,,,,,,,
tolid.benchling_extraction_benchling_volume_ul_max,benchling,tolid,benchling_extraction_benchling_volume_ul_max,,,,,,,
sample.benchling_extraction_benchling_volume_ul_rna_max,benchling,sample,benchling_extraction_benchling_volume_ul_rna_max,,,,,,,
tissue_prep.benchling_extraction_benchling_volume_ul_dna_min,benchling,tissue_prep,benchling_extraction_benchling_volume_ul_dna_min,,,,,,,
sample.benchling_extraction_pooled_dna_count,benchling,sample,benchling_extraction_pooled_dna_count,,,,,,,
species.benchling_extraction_benchling_volume_ul_dna_min,benchling,species,benchling_extraction_benchling_volume_ul_dna_min,,,,,,,
species.benchling_sample_benchling_remaining_weight_sum,benchling,species,benchling_sample_benchling_remaining_weight_sum,,,,,,,
species.benchling_extraction_benchling_volume_ul_rna_max,benchling,species,benchling_extraction_benchling_volume_ul_rna_max,,,,,,,
sample.benchling_sequencing_request_hic_count,benchling,sample,benchling_sequencing_request_hic_count,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_pacbio_min,benchling,sample,benchling_sequencing_request_benchling_completion_date_pacbio_min,Earliest PacBio Request,,,,,,
species.benchling_sequencing_request_benchling_completion_date_wgs_min,benchling,species,benchling_sequencing_request_benchling_completion_date_wgs_min,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_wgs_min,benchling,sample,benchling_sequencing_request_benchling_completion_date_wgs_min,,,,,,,
species.benchling_sample_benchling_remaining_weight_min,benchling,species,benchling_sample_benchling_remaining_weight_min,,,,,,,
tolid.benchling_extraction_calc_dna_volume_remaining_max,benchling,tolid,benchling_extraction_calc_dna_volume_remaining_max,,,,,,,
species.benchling_sequencing_request_benchling_completion_date_ont_min,benchling,species,benchling_sequencing_request_benchling_completion_date_ont_min,,,,,,,
sample.benchling_extraction_dna_count,benchling,sample,benchling_extraction_dna_count,,,,,,,
tolid.benchling_extraction_rna_count,benchling,tolid,benchling_extraction_rna_count,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_max,benchling,sample,benchling_sequencing_request_benchling_completion_date_max,,,,,,,
sample.benchling_sequencing_request_mlwh_volume_remaining_min,benchling,sample,benchling_sequencing_request_mlwh_volume_remaining_min,,,,,,,
species.benchling_extraction_lres_count,benchling,species,benchling_extraction_lres_count,,,,,,,
tissue_prep.benchling_extraction_benchling_volume_ul_pooled_dna_max,benchling,tissue_prep,benchling_extraction_benchling_volume_ul_pooled_dna_max,,,,,,,
sample.benchling_tissue_prep_benchling_weight_mg_min,benchling,sample,benchling_tissue_prep_benchling_weight_mg_min,,,,,,,
species.benchling_extraction_benchling_volume_ul_dna_sum,benchling,species,benchling_extraction_benchling_volume_ul_dna_sum,,,,,,,
sample.benchling_tissue_prep_count,benchling,sample,benchling_tissue_prep_count,,,,,,,
sample.benchling_tissue_prep_benchling_sampleprep_date_max,benchling,sample,benchling_tissue_prep_benchling_sampleprep_date_max,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_ont_min,benchling,sample,benchling_sequencing_request_benchling_completion_date_ont_min,,,,,,,
sample.benchling_tissue_prep_benchling_sampleprep_date_min,benchling,sample,benchling_tissue_prep_benchling_sampleprep_date_min,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_rnaseq_min,benchling,sample,benchling_sequencing_request_benchling_completion_date_rnaseq_min,,,,,,,
sample.benchling_extraction_benchling_volume_ul_rna_min,benchling,sample,benchling_extraction_benchling_volume_ul_rna_min,,,,,,,
sample.benchling_sequencing_request_pacbio_count,benchling,sample,benchling_sequencing_request_pacbio_count,,,,,,,
tissue_prep.benchling_extraction_dna_count,benchling,tissue_prep,benchling_extraction_dna_count,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_ont_max,benchling,sample,benchling_sequencing_request_benchling_completion_date_ont_max,,,,,,,
sample.benchling_extraction_benchling_volume_ul_pooled_dna_max,benchling,sample,benchling_extraction_benchling_volume_ul_pooled_dna_max,,,,,,,
tolid.benchling_extraction_benchling_volume_ul_pooled_dna_min,benchling,tolid,benchling_extraction_benchling_volume_ul_pooled_dna_min,,,,,,,
species.benchling_tissue_prep_benchling_sampleprep_date_min,benchling,species,benchling_tissue_prep_benchling_sampleprep_date_min,,,,,,,
tolid.benchling_extraction_benchling_volume_ul_rna_max,benchling,tolid,benchling_extraction_benchling_volume_ul_rna_max,,,,,,,
sample.benchling_extraction_benchling_volume_ul_pooled_dna_min,benchling,sample,benchling_extraction_benchling_volume_ul_pooled_dna_min,,,,,,,
species.benchling_sequencing_request_benchling_completion_date_rnaseq_min,benchling,species,benchling_sequencing_request_benchling_completion_date_rnaseq_min,,,,,,,
tissue_prep.benchling_extraction_benchling_volume_ul_rna_max,benchling,tissue_prep,benchling_extraction_benchling_volume_ul_rna_max,,,,,,,
species.benchling_extraction_benchling_volume_ul_rna_sum,benchling,species,benchling_extraction_benchling_volume_ul_rna_sum,,,,,,,
species.benchling_sequencing_request_benchling_completion_date_ont_max,benchling,species,benchling_sequencing_request_benchling_completion_date_ont_max,,,,,,,
tolid.benchling_extraction_pooled_dna_count,benchling,tolid,benchling_extraction_pooled_dna_count,,,,,,,
species.benchling_extraction_benchling_volume_ul_rna_min,benchling,species,benchling_extraction_benchling_volume_ul_rna_min,,,,,,,
tolid.benchling_tissue_prep_benchling_weight_mg_min,benchling,tolid,benchling_tissue_prep_benchling_weight_mg_min,,,,,,,
species.benchling_extraction_dna_count,benchling,species,benchling_extraction_dna_count,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_pacbio_max,benchling,sample,benchling_sequencing_request_benchling_completion_date_pacbio_max,Latest PacBio Request,,,,,,
species.benchling_sequencing_request_benchling_completion_date_wgs_max,benchling,species,benchling_sequencing_request_benchling_completion_date_wgs_max,,,,,,,
sample.benchling_sequencing_request_benchling_completion_date_min,benchling,sample,benchling_sequencing_request_benchling_completion_date_min,,,,,,,
sample.benchling_extraction_rna_count,benchling,sample,benchling_extraction_rna_count,Number of RNA Extractions,,,,,,
sample.benchling_sequencing_request_rnaseq_count,benchling,sample,benchling_sequencing_request_rnaseq_count,,,,,,,
species.benchling_extraction_pooled_dna_count,benchling,species,benchling_extraction_pooled_dna_count,,,,,,,
tolid.benchling_extraction_calc_dna_volume_remaining_min,benchling,tolid,benchling_extraction_calc_dna_volume_remaining_min,,,,,,,
species.benchling_extraction_benchling_volume_ul_pooled_dna_min,benchling,species,benchling_extraction_benchling_volume_ul_pooled_dna_min,,,,,,,
species.benchling_tissue_prep_benchling_weight_mg_min,benchling,species,benchling_tissue_prep_benchling_weight_mg_min,,,,,,,
sample.benchling_sequencing_request_mlwh_volume_remaining_max,benchling,sample,benchling_sequencing_request_mlwh_volume_remaining_max,,,,,,,
tissue_prep.benchling_extraction_pooled_dna_count,benchling,tissue_prep,benchling_extraction_pooled_dna_count,,,,,,,
tolid.benchling_sample_benchling_remaining_weight_min,benchling,tolid,benchling_sample_benchling_remaining_weight_min,,,,,,,
tolid.benchling_extraction_benchling_volume_ul_dna_min,benchling,tolid,benchling_extraction_benchling_volume_ul_dna_min,,,,,,,
sample.benchling_extraction_lres_count,benchling,sample,benchling_extraction_lres_count,,,,,,,
sample.benchling_sequencing_request_ont_count,benchling,sample,benchling_sequencing_request_ont_count,,,,,,,
sample.benchling_extraction_benchling_volume_ul_dna_min,benchling,sample,benchling_extraction_benchling_volume_ul_dna_min,,,,,,,
sample.bioscan_qc_sanger_qc_result,bioscan,sample,bioscan_qc_sanger_qc_result,Sanger QC Result,,,,,,
sample.bioscan_qc_sanger_qc_description,bioscan,sample,bioscan_qc_sanger_qc_description,Sanger QC Description,,,For more information and details about the BIOSCAN QC please visit (https://github.com/aswitwicka/BIOSCAN_QC),,,
sample.bold_kingdom,bold,sample,bold_kingdom,BOLD: Kingdom,1,,,,,
sample.bold_order,bold,sample,bold_order,BOLD: Order,1,,,,,
